player_id,player_name,age,state,visits,theoretical_win,actual_win,loyalty_tier
1001,Stacy Wall,28,NY,39,19933.92,16147.69,Silver
1002,David Joseph,31,PA,21,3984.86,3162.37,Gold
1003,Jennifer Fitzgerald,44,NJ,11,21667.79,22982.35,Bronze
1004,William Bailey,64,NJ,3,612.55,785.26,Silver
1005,Terry Smith,41,NY,30,5387.24,4358.79,Silver
1006,Andrew Campbell,64,PA,33,7675.63,7789.64,Bronze
1007,Michael Adkins,62,NY,25,7351.61,7844.99,Bronze
1008,Jonathan Cook,67,MA,28,24346.51,20442.86,Silver
1009,Jennifer Cooley,77,FL,51,9623.3,12413.47,Bronze
1010,Gary Craig,29,NY,3,21512.52,23839.84,Gold
1011,Carolyn Wood,34,CT,39,430.3,544.47,Gold
1012,Michelle Quinn,22,CA,50,9696.87,6880.7,Silver
1013,Jorge Williams,64,PA,20,6101.53,6772.44,Bronze
1014,Robert Cooley,56,CA,8,956.27,1191.12,Platinum
1015,Taylor Moore,26,MA,50,16596.8,14721.8,Bronze
1016,Ryan Payne,38,CA,54,13713.09,11120.12,Bronze
1017,John Nolan,56,NY,26,11298.88,10588.07,Silver
1018,Ashley Johnston,34,NJ,14,18209.07,16313.95,Gold
1019,Jessica Booth,41,MA,23,13068.77,16684.94,Platinum
1020,Theresa Perez,44,FL,16,18708.27,19153.81,Bronze
1021,Mr. Robert Hood,65,CA,26,24134.86,25684.81,Gold
1022,Susan Ramirez,45,NJ,41,7477.21,5975.49,Silver
1023,Michael Wilson,28,PA,7,10642.7,9971.45,Bronze
1024,Ashley Cook,28,NJ,24,450.59,369.17,Gold
1025,Matthew Kelly,62,NJ,35,19775.37,21032.61,Gold
1026,Mrs. Danielle Taylor MD,29,TX,39,16311.82,20373.07,Bronze
1027,Margaret Ellis,75,CA,8,11291.32,8550.31,Silver
1028,Douglas Fry,64,CA,23,16754.15,18422.08,Bronze
1029,Brooke Murphy,55,FL,40,6940.57,7195.61,Bronze
1030,Lisa Barrett,25,NJ,37,24295.63,29381.88,Gold
1031,Cheryl Brown,47,CT,26,5976.02,5101.38,Silver
1032,David Wilson,33,PA,9,17795.51,13640.87,Silver
1033,Sydney Jackson,72,MA,51,882.59,954.83,Bronze
1034,Monica Higgins,59,PA,32,17418.35,13649.0,Bronze
1035,Cynthia Guerra,33,NY,45,13542.04,11129.35,Silver
1036,Mark Powell,48,NY,32,15011.75,16766.19,Bronze
1037,Stephanie Nichols,73,MA,2,15646.42,13727.86,Gold
